time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,quote_close_usd,price_usd_equivalent,conversion_status,premium_pct
2022-04-20 08:44:44,WAVES/USD,SELL,22.22,1.0,22.22,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.22,native_usd,9.470800806989965
2022-04-20 20:11:29,WAVES/USD,SELL,22.32,1.0,22.32,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.32,native_usd,9.963468677408471
2022-04-20 20:11:29,WAVES/USD,SELL,22.42,1.0,22.42,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.42,native_usd,10.456136547826977
2022-04-24 18:19:09,WAVES/USD,BUY,18.66,0.09615432,1.79423961,WAVES,USD,2022-04-24,17.4473,0.0,2.0,,18.66,native_usd,6.9506456586406085
2022-04-24 18:32:08,WAVES/USD,BUY,18.66,0.90384568,16.86576038,WAVES,USD,2022-04-24,17.4473,0.0,2.0,,18.66,native_usd,6.9506456586406085
2022-04-24 21:47:53,WAVES/USD,BUY,18.22,0.43560455,7.9367149,WAVES,USD,2022-04-24,17.4473,0.0,2.0,,18.22,native_usd,4.428765482338237
2022-04-25 02:53:22,WAVES/USD,BUY,18.22,0.56321228,10.26172774,WAVES,USD,2022-04-25,16.9384,0.0,2.0,,18.22,native_usd,7.566240022670367
2022-04-25 03:06:43,WAVES/USD,BUY,18.22,0.00118317,0.02155735,WAVES,USD,2022-04-25,16.9384,0.0,2.0,,18.22,native_usd,7.566240022670367
2022-04-25 04:35:31,WAVES/USD,BUY,17.66,1.0,17.66,WAVES,USD,2022-04-25,16.9384,0.0,2.0,,17.66,native_usd,4.260142634487307
2022-04-25 07:38:57,WAVES/USD,BUY,17.44,0.7058421,12.30988622,WAVES,USD,2022-04-25,16.9384,0.0,2.0,,17.44,native_usd,2.9613186605582653
2022-04-25 07:57:55,WAVES/USD,BUY,17.44,0.2941579,5.13011377,WAVES,USD,2022-04-25,16.9384,0.0,2.0,,17.44,native_usd,2.9613186605582653
2022-05-11 14:48:56,WAVES/USD,BUY,9.2,0.0174853,0.16086476,WAVES,USD,2022-05-11,7.965450000000001,0.0,2.0,,9.2,native_usd,15.498810487794135
2022-05-11 14:48:59,WAVES/USD,BUY,9.2,3.27858115,30.16294658,WAVES,USD,2022-05-11,7.965450000000001,0.0,2.0,,9.2,native_usd,15.498810487794135
2022-05-11 14:49:01,WAVES/USD,BUY,9.2,0.01170721,0.10770633,WAVES,USD,2022-05-11,7.965450000000001,0.0,2.0,,9.2,native_usd,15.498810487794135
2022-05-11 14:49:16,WAVES/USD,BUY,9.2,8.36636943,76.97059875,WAVES,USD,2022-05-11,7.965450000000001,0.0,2.0,,9.2,native_usd,15.498810487794135
